"Freq.","Gain","Phase","Group Delay"
"3124.3","-36.71542","-103.925159011096","1.263132E-05"
"3162.394","-36.39629","-104.098516375085","1.264089E-05"
"3200.953","-36.07708","-104.274126671893","1.265088E-05"
"3239.982","-35.75778","-104.452019947102","1.266095E-05"
"3279.488","-35.4384","-104.632230009756","1.267136E-05"
"3319.474","-35.11892","-104.814793278467","1.268219E-05"
"3359.949","-34.79935","-104.999741098678","1.269307E-05"
"3400.917","-34.47969","-105.187109552314","1.270433E-05"
"3442.384","-34.15994","-105.376936066622","1.271595E-05"
"3484.357","-33.84008","-105.569257768296","1.27279E-05"
"3526.842","-33.52013","-105.764111372451","1.274007E-05"
"3569.844","-33.20007","-105.961535111899","1.275268E-05"
"3613.371","-32.8799","-106.16156921721","1.276562E-05"
"3657.429","-32.55962","-106.364252372439","1.277885E-05"
"3702.024","-32.23924","-106.569624634681","1.279244E-05"
"3747.163","-31.91874","-106.777729013478","1.280648E-05"
"3792.852","-31.59811","-106.988608100552","1.282087E-05"
"3839.098","-31.27737","-107.202304245051","1.283562E-05"
"3885.908","-30.95651","-107.418861985172","1.285086E-05"
"3933.289","-30.63552","-107.638326619717","1.286646E-05"
"3981.248","-30.3144","-107.860745128427","1.288258E-05"
"4029.791","-29.99314","-108.086164007712","1.289903E-05"
"4078.927","-29.67175","-108.314630749116","1.291598E-05"
"4128.661","-29.35022","-108.54619468534","1.293343E-05"
"4179.001","-29.02854","-108.7809085632","1.295138E-05"
"4229.956","-28.70671","-109.018823448352","1.296988E-05"
"4281.532","-28.38474","-109.259990191393","1.298883E-05"
"4333.736","-28.06261","-109.504464954665","1.300837E-05"
"4386.578","-27.74032","-109.752301936473","1.302837E-05"
"4440.063","-27.41787","-110.003558904725","1.304911E-05"
"4494.201","-27.09525","-110.258292285046","1.307024E-05"
"4548.999","-26.77246","-110.516564832636","1.309219E-05"
"4604.464","-26.44949","-110.778434602634","1.311467E-05"
"4660.606","-26.12635","-111.043963258224","1.313773E-05"
"4717.433","-25.80301","-111.31321881607","1.316164E-05"
"4774.953","-25.47949","-111.586263826975","1.31861E-05"
"4833.174","-25.15577","-111.863169671304","1.321139E-05"
"4892.104","-24.83186","-112.144000366744","1.323734E-05"
"4951.754","-24.50774","-112.42882838488","1.326399E-05"
"5012.131","-24.1834","-112.717732405935","1.329168E-05"
"5073.244","-23.85886","-113.010780852254","1.332002E-05"
"5135.102","-23.53409","-113.308050907562","1.334914E-05"
"5197.714","-23.2091","-113.609626546427","1.337932E-05"
"5261.089","-22.88387","-113.9155857114","1.341034E-05"
"5325.238","-22.55841","-114.226013005411","1.344223E-05"
"5390.168","-22.23271","-114.540994057287","1.34751E-05"
"5455.891","-21.90675","-114.86061871998","1.350908E-05"
"5522.414","-21.58054","-115.184975289792","1.354395E-05"
"5589.749","-21.25406","-115.514162591388","1.358001E-05"
"5657.905","-20.92731","-115.84827699204","1.361727E-05"
"5726.892","-20.60029","-116.187413486624","1.365545E-05"
"5796.72","-20.27299","-116.531677997723","1.369492E-05"
"5867.399","-19.94539","-116.881176715901","1.373572E-05"
"5938.94","-19.6175","-117.236017032233","1.377766E-05"
"6011.354","-19.2893","-117.59631875476","1.382114E-05"
"6084.65","-18.96079","-117.962189536941","1.386573E-05"
"6158.84","-18.63196","-118.333756713591","1.391201E-05"
"6233.935","-18.3028","-118.711139436196","1.395951E-05"
"6309.945","-17.97331","-119.094469027323","1.400869E-05"
"6386.882","-17.64347","-119.483877261836","1.405942E-05"
"6464.757","-17.31327","-119.879509388756","1.411199E-05"
"6543.582","-16.98272","-120.281496728744","1.416601E-05"
"6623.368","-16.65179","-120.68999245197","1.42219E-05"
"6704.127","-16.32049","-121.105144789769","1.427957E-05"
"6785.871","-15.9888","-121.52711969381","1.433937E-05"
"6868.611","-15.65671","-121.956075409079","1.440102E-05"
"6952.36","-15.32422","-122.39217925446","1.446464E-05"
